id,followers_count,friends_count,created_at,language
47341545,11024,1,Mon Jun 15 14:03:49 +0000 2009,en
26257294,3429,3352,Tue Mar 24 15:28:49 +0000 2009,en
20462779,4004,2174,Mon Feb 09 20:13:51 +0000 2009,en
20791372,170320,142,Fri Feb 13 18:09:41 +0000 2009,en
18071491,807,1175,Fri Dec 12 06:12:39 +0000 2008,en
1566793256,3558,1034,Wed Jul 03 22:08:47 +0000 2013,en
30093482,4446,4936,Thu Apr 09 23:14:21 +0000 2009,en
196824385,2960,2162,Thu Sep 30 00:22:47 +0000 2010,en
32204021,355,679,Thu Apr 16 23:35:08 +0000 2009,en
16227226,1344,2288,Wed Sep 10 19:54:51 +0000 2008,en
219423018,2572,2856,Wed Nov 24 20:41:25 +0000 2010,en
262856460,276153,882,Tue Mar 08 22:18:51 +0000 2011,en
572840249,846,683,Sun May 06 17:26:40 +0000 2012,en
58602902,7316,3205,Mon Jul 20 21:53:26 +0000 2009,en
114258394,1416,1731,Sun Feb 14 18:56:41 +0000 2010,en
2385795939,1158,1301,Wed Mar 05 16:16:17 +0000 2014,en
8565452,4194,4848,Fri Aug 31 19:48:02 +0000 2007,en
474398460,26924,20660,Wed Jan 25 23:27:25 +0000 2012,en
272046568,1027,2092,Fri Mar 25 18:16:47 +0000 2011,en
515822213,91072,988,Mon Mar 05 20:13:29 +0000 2012,en
230626878,837,802,Sun Dec 26 04:57:03 +0000 2010,en
409407637,1938,707,Thu Nov 10 17:59:54 +0000 2011,en
621394236,639,1677,Thu Jun 28 21:11:25 +0000 2012,en
876526854,2350,4317,Fri Oct 12 22:10:47 +0000 2012,en
18127064,3714,3117,Mon Dec 15 01:18:44 +0000 2008,en
112905096,3720,3558,Wed Feb 10 02:38:52 +0000 2010,en
26850418,2494,1407,Thu Mar 26 21:03:32 +0000 2009,en
78139444,10855,3249,Mon Sep 28 22:22:13 +0000 2009,en
76163900,1328,993,Mon Sep 21 22:22:11 +0000 2009,en
767036004,4575,2921,Sun Aug 19 06:19:46 +0000 2012,en
56613758,1920,760,Tue Jul 14 05:10:36 +0000 2009,en
26637474,5330,5408,Thu Mar 26 00:15:04 +0000 2009,en
15739968,2800,2859,Tue Aug 05 18:50:14 +0000 2008,en
122994855,1049,415,Sun Mar 14 16:24:45 +0000 2010,en
229596604,1243,203,Wed Dec 22 20:32:29 +0000 2010,en
933693476,59808,53392,Thu Nov 08 05:06:49 +0000 2012,en
