,id,followers_count,friends_count,created_at,language
33,122994855,1049,415,Sun Mar 14 16:24:45 +0000 2010,en
34,229596604,1243,203,Wed Dec 22 20:32:29 +0000 2010,en
79,293274246,1314,220,Thu May 05 02:03:52 +0000 2011,en
143,317309166,1477,119,Tue Jun 14 18:59:48 +0000 2011,en
149,1425763159,1196,299,Mon May 13 15:34:25 +0000 2013,en
153,22693132,1676,261,Tue Mar 03 22:37:58 +0000 2009,en
159,424409927,1008,420,Tue Nov 29 18:53:51 +0000 2011,en
189,972898423,1603,313,Mon Nov 26 23:20:44 +0000 2012,en
222,474091228,1619,274,Wed Jan 25 16:58:56 +0000 2012,en
224,32281887,1849,486,Fri Apr 17 03:14:14 +0000 2009,en
231,346801789,1304,317,Mon Aug 01 21:22:52 +0000 2011,en
261,9554452,1073,101,Sat Oct 20 01:55:16 +0000 2007,en
448,236696059,1581,366,Tue Jan 11 04:52:52 +0000 2011,en
467,569026093,1310,423,Wed May 02 11:23:51 +0000 2012,en
477,120355879,1294,362,Sat Mar 06 05:50:35 +0000 2010,en
556,15771482,1781,357,Thu Aug 07 23:53:20 +0000 2008,en
730,29639874,1597,447,Wed Apr 08 04:23:34 +0000 2009,en
772,183424110,1220,136,Thu Aug 26 23:46:04 +0000 2010,en
807,417631044,1013,379,Mon Nov 21 05:46:07 +0000 2011,en
923,22425776,1079,206,Mon Mar 02 00:06:25 +0000 2009,en
940,121783565,1257,128,Wed Mar 10 15:32:52 +0000 2010,en
956,15378621,1935,117,Thu Jul 10 15:18:46 +0000 2008,en
965,414895897,1071,204,Thu Nov 17 16:42:30 +0000 2011,en
1011,47543853,1258,135,Tue Jun 16 04:38:20 +0000 2009,en
1112,19812372,1117,200,Sat Jan 31 11:35:49 +0000 2009,en
1170,19144225,1919,161,Sun Jan 18 13:32:12 +0000 2009,en
1262,546753317,1142,330,Fri Apr 06 12:03:51 +0000 2012,en
1306,952540201,1295,449,Fri Nov 16 22:39:27 +0000 2012,en
1360,28878752,1737,445,Sat Apr 04 21:53:53 +0000 2009,en
1371,91552606,1762,335,Sat Nov 21 11:18:08 +0000 2009,en
1559,1249800524,1133,262,Thu Mar 07 18:47:53 +0000 2013,en
1568,63073834,1863,405,Wed Aug 05 08:26:03 +0000 2009,en
1603,50521935,1307,430,Thu Jun 25 02:21:54 +0000 2009,en
1621,2432952828,1145,240,Tue Apr 08 03:13:20 +0000 2014,en
1714,67227563,1201,435,Thu Aug 20 04:28:12 +0000 2009,en
1728,40606819,1789,349,Sun May 17 04:22:41 +0000 2009,en
1782,1182925578,1565,234,Fri Feb 15 15:19:33 +0000 2013,en
1830,294584158,1930,386,Sat May 07 12:13:03 +0000 2011,en
1850,605754185,1923,389,Mon Jun 11 21:18:41 +0000 2012,en
1876,198572491,1726,156,Mon Oct 04 17:29:21 +0000 2010,en
1892,22011571,1710,210,Thu Feb 26 14:08:11 +0000 2009,en
1926,21172539,1569,283,Wed Feb 18 05:36:36 +0000 2009,en
2076,103922067,1916,445,Mon Jan 11 17:52:44 +0000 2010,en
2149,71453676,1371,330,Fri Sep 04 04:30:38 +0000 2009,en
2205,28715128,1364,411,Sat Apr 04 02:06:03 +0000 2009,en
2233,64859300,1987,373,Tue Aug 11 23:18:10 +0000 2009,en
2245,129443311,1104,468,Sun Apr 04 08:48:59 +0000 2010,en
2303,492778623,1242,416,Wed Feb 15 03:31:44 +0000 2012,en
2322,285662097,1070,327,Thu Apr 21 15:19:15 +0000 2011,en
2339,2927384962,1760,340,Wed Dec 17 17:33:57 +0000 2014,en
2344,39871383,1899,321,Wed May 13 23:42:20 +0000 2009,en
2345,198895121,1134,396,Tue Oct 05 14:36:36 +0000 2010,en
2349,242960321,1030,187,Wed Jan 26 00:20:01 +0000 2011,en
2457,116264455,1588,245,Sun Feb 21 20:23:38 +0000 2010,en
2479,26244031,1483,276,Tue Mar 24 14:14:13 +0000 2009,en
2485,123880887,1238,487,Wed Mar 17 14:10:19 +0000 2010,en
2531,2978992402,1127,367,Wed Jan 14 22:37:15 +0000 2015,en
2557,305144869,1674,402,Wed May 25 18:33:33 +0000 2011,en
2574,1428948032,1708,328,Tue May 14 22:09:23 +0000 2013,en
2578,34173355,1089,460,Wed Apr 22 03:51:51 +0000 2009,en
2667,500040415,1160,431,Wed Feb 22 18:54:44 +0000 2012,en
2680,45787636,1844,412,Tue Jun 09 07:20:34 +0000 2009,en
2686,218759595,1769,447,Tue Nov 23 05:39:48 +0000 2010,en
2707,523874457,1978,374,Wed Mar 14 01:09:29 +0000 2012,en
2736,37988209,1337,280,Tue May 05 18:43:47 +0000 2009,en
2761,236975376,1833,152,Tue Jan 11 20:03:37 +0000 2011,en
2813,118420668,1209,244,Sun Feb 28 16:48:58 +0000 2010,en
2831,22260540,1922,197,Sat Feb 28 14:41:45 +0000 2009,en
2932,2511427183,1271,457,Tue May 20 21:26:18 +0000 2014,en
2994,16208276,1187,478,Tue Sep 09 19:20:53 +0000 2008,en
3043,219699117,1119,286,Thu Nov 25 16:28:03 +0000 2010,en
3050,274120509,1242,302,Tue Mar 29 19:30:38 +0000 2011,en
3055,15970073,1437,490,Sun Aug 24 16:26:44 +0000 2008,en
3079,525282645,1371,420,Thu Mar 15 11:27:28 +0000 2012,en
3121,487813295,1728,406,Thu Feb 09 19:30:56 +0000 2012,en
3178,28983417,1194,490,Sun Apr 05 13:01:15 +0000 2009,en
3187,2915812174,1292,365,Thu Dec 11 16:30:59 +0000 2014,en
3227,525957664,1369,377,Fri Mar 16 02:31:09 +0000 2012,en
3237,447247863,1906,251,Mon Dec 26 17:34:19 +0000 2011,en
3254,976502527,1212,297,Wed Nov 28 16:40:30 +0000 2012,en
3357,733898910,1202,239,Fri Aug 03 01:29:44 +0000 2012,en
3367,2914822804,1228,422,Thu Dec 11 01:11:14 +0000 2014,en
3387,1976740980,1252,486,Sun Oct 20 23:41:26 +0000 2013,en
3450,836854820,1619,405,Fri Sep 21 02:53:28 +0000 2012,en
3468,2225736954,1467,417,Sun Dec 01 23:36:28 +0000 2013,en
3688,28779853,1611,470,Sat Apr 04 11:51:18 +0000 2009,en
3691,42790427,1925,327,Wed May 27 02:13:36 +0000 2009,en
3697,437667247,1797,149,Thu Dec 15 17:59:32 +0000 2011,en
3732,170111219,1899,110,Fri Jul 23 23:50:04 +0000 2010,en
3754,17975444,1161,187,Mon Dec 08 22:19:21 +0000 2008,en
3761,25343626,1200,203,Thu Mar 19 17:28:25 +0000 2009,en
3981,819676560,1883,337,Wed Sep 12 14:32:45 +0000 2012,en
3987,247968838,1588,416,Sat Feb 05 23:52:35 +0000 2011,en
4116,435128656,1949,450,Mon Dec 12 18:15:26 +0000 2011,en
4129,3003867376,1035,317,Wed Jan 28 20:31:35 +0000 2015,en
4172,112781983,1704,235,Tue Feb 09 17:59:02 +0000 2010,en
4187,259176107,1599,377,Tue Mar 01 08:58:21 +0000 2011,en
4192,361956693,1639,248,Thu Aug 25 16:22:04 +0000 2011,en
4275,57142505,1208,318,Wed Jul 15 21:27:37 +0000 2009,en
4276,566949843,1956,266,Mon Apr 30 03:13:45 +0000 2012,en
4309,282629749,1725,366,Fri Apr 15 15:46:08 +0000 2011,en
4448,450146278,1311,374,Thu Dec 29 22:53:11 +0000 2011,en
4479,72848874,1829,277,Wed Sep 09 13:14:42 +0000 2009,en
4585,19160457,1198,167,Sun Jan 18 22:26:18 +0000 2009,en
4620,55815964,1727,145,Sat Jul 11 11:54:57 +0000 2009,en
4649,14632277,1802,127,Fri May 02 23:02:22 +0000 2008,en
4657,1375306027,1105,323,Tue Apr 23 19:19:45 +0000 2013,en
4780,18234755,1457,285,Fri Dec 19 04:26:08 +0000 2008,en
4833,221422356,1199,292,Tue Nov 30 16:40:07 +0000 2010,en
4868,432955294,1369,407,Fri Dec 09 23:58:17 +0000 2011,en
4872,133782380,1215,411,Fri Apr 16 16:22:33 +0000 2010,en
4940,14606900,1714,383,Wed Apr 30 22:22:15 +0000 2008,en
4945,16669580,1336,173,Thu Oct 09 17:26:53 +0000 2008,en
5045,138523104,1077,138,Thu Apr 29 20:03:53 +0000 2010,en
5055,2366200170,1268,450,Fri Feb 28 23:07:42 +0000 2014,en
5094,1112289313,1941,303,Tue Jan 22 18:28:33 +0000 2013,en
5151,580406765,1177,384,Tue May 15 01:17:12 +0000 2012,en
5154,65726596,1568,342,Fri Aug 14 20:26:03 +0000 2009,en
5171,121751302,1520,478,Wed Mar 10 13:29:25 +0000 2010,en
5201,3026622545,1898,182,Mon Feb 09 16:00:36 +0000 2015,en
5210,1531472228,1022,403,Wed Jun 19 17:27:44 +0000 2013,en
5227,24966325,1118,237,Tue Mar 17 22:10:11 +0000 2009,en
5245,29552986,1807,264,Tue Apr 07 21:39:41 +0000 2009,en
5255,326701121,1462,167,Thu Jun 30 10:29:24 +0000 2011,en
5319,32134117,1583,230,Thu Apr 16 20:09:04 +0000 2009,en
5320,2340948996,1544,452,Wed Feb 12 21:22:26 +0000 2014,en
5409,165675063,1197,284,Mon Jul 12 06:55:42 +0000 2010,en
5472,449458857,1261,465,Thu Dec 29 04:17:39 +0000 2011,en
5480,38351876,1247,294,Thu May 07 02:59:18 +0000 2009,en
5488,2838018347,1173,316,Mon Oct 20 12:29:20 +0000 2014,nl
5530,323593901,1905,452,Sat Jun 25 02:54:35 +0000 2011,en
5533,36464426,1433,107,Wed Apr 29 20:10:28 +0000 2009,en
5538,254648944,1142,434,Sat Feb 19 18:21:20 +0000 2011,en
5603,326581793,1630,300,Thu Jun 30 04:27:27 +0000 2011,en
5622,10105942,1470,267,Fri Nov 09 18:31:20 +0000 2007,en
5664,7205832,1877,321,Mon Jul 02 14:01:04 +0000 2007,en
5669,21266799,1151,240,Thu Feb 19 02:09:56 +0000 2009,en
5726,23721204,1525,213,Wed Mar 11 04:17:12 +0000 2009,en
5739,78387677,1703,435,Tue Sep 29 19:00:28 +0000 2009,en
5783,19749363,1465,339,Fri Jan 30 02:17:04 +0000 2009,en
5804,2281331647,1014,464,Wed Jan 08 00:06:14 +0000 2014,en
5816,40772047,1810,481,Mon May 18 00:35:06 +0000 2009,en
5898,15229068,1028,124,Wed Jun 25 08:56:59 +0000 2008,it
6097,117150125,1079,290,Wed Feb 24 18:01:34 +0000 2010,en
6136,357049990,1426,339,Wed Aug 17 19:28:30 +0000 2011,en
6287,479017220,1519,421,Mon Jan 30 22:40:46 +0000 2012,en
6487,27877804,1554,269,Tue Mar 31 14:15:19 +0000 2009,en
6516,233784484,1734,371,Tue Jan 04 03:05:03 +0000 2011,en
6552,30252303,1979,158,Fri Apr 10 16:33:41 +0000 2009,en
6599,287690091,1120,195,Mon Apr 25 14:00:27 +0000 2011,en
6609,243677635,1927,283,Thu Jan 27 15:40:52 +0000 2011,en
6635,34768966,1635,280,Thu Apr 23 23:25:49 +0000 2009,en
6642,765197252,1792,471,Sat Aug 18 06:32:15 +0000 2012,en
6665,24149681,1015,235,Fri Mar 13 09:28:09 +0000 2009,en
6794,14273675,1302,388,Tue Apr 01 10:07:01 +0000 2008,en
6807,28328776,1984,411,Thu Apr 02 12:35:09 +0000 2009,en
6848,41726817,1055,485,Fri May 22 01:55:27 +0000 2009,en
6851,368497409,1545,320,Mon Sep 05 18:51:15 +0000 2011,en
6855,35657008,1474,424,Mon Apr 27 03:28:26 +0000 2009,en
6884,113120838,1540,480,Wed Feb 10 19:37:16 +0000 2010,en
6944,744204973,1676,304,Wed Aug 08 02:00:37 +0000 2012,en
6960,90357471,1776,308,Mon Nov 16 09:07:55 +0000 2009,en
7040,40959268,1620,199,Mon May 18 20:25:34 +0000 2009,en
7049,262668957,1715,406,Tue Mar 08 14:26:05 +0000 2011,en
7098,540265927,1324,272,Thu Mar 29 20:46:20 +0000 2012,en
7139,17855686,1357,321,Thu Dec 04 01:24:58 +0000 2008,en
7152,48001589,1033,176,Wed Jun 17 15:44:33 +0000 2009,en
7181,127635993,1298,213,Mon Mar 29 20:31:23 +0000 2010,en
7244,15949499,1297,227,Fri Aug 22 20:03:47 +0000 2008,en
7255,1225888412,1518,192,Wed Feb 27 19:35:34 +0000 2013,en
7355,381736092,1173,184,Wed Sep 28 21:06:23 +0000 2011,en
7381,20870949,1738,420,Sat Feb 14 20:56:30 +0000 2009,en
7408,136383882,1614,460,Fri Apr 23 20:03:19 +0000 2010,en
7420,1491350114,1537,293,Fri Jun 07 21:33:53 +0000 2013,en
7437,2343686814,1168,154,Fri Feb 14 14:52:15 +0000 2014,en
7443,325231436,1420,145,Mon Jun 27 23:29:19 +0000 2011,en
7687,293594786,1646,467,Thu May 05 16:37:25 +0000 2011,en
7733,231973064,1426,491,Wed Dec 29 23:50:10 +0000 2010,en
7782,59238835,1314,342,Wed Jul 22 20:27:34 +0000 2009,en
7834,2279206304,1035,253,Mon Jan 06 15:07:29 +0000 2014,en
7885,282255277,1170,149,Thu Apr 14 21:23:13 +0000 2011,en
8041,115676070,1618,284,Fri Feb 19 14:27:10 +0000 2010,en
8117,1357819586,1060,442,Tue Apr 16 20:29:24 +0000 2013,en
8167,1188207558,1698,456,Sun Feb 17 03:34:28 +0000 2013,ko
8178,37947269,1584,436,Tue May 05 15:34:36 +0000 2009,en
8226,193065887,1801,317,Mon Sep 20 21:59:45 +0000 2010,en
8256,309432919,1204,285,Thu Jun 02 02:39:21 +0000 2011,en
8320,1888489706,1269,397,Sat Sep 21 01:59:34 +0000 2013,en
8334,34705879,1409,105,Thu Apr 23 19:37:59 +0000 2009,en
8380,394233849,1955,463,Wed Oct 19 19:34:57 +0000 2011,it
8400,100674437,1395,393,Thu Dec 31 04:03:01 +0000 2009,en
8458,2205187568,1454,473,Wed Nov 20 16:21:53 +0000 2013,en
8480,418882229,1383,450,Tue Nov 22 17:50:36 +0000 2011,en
8602,1164782162,1966,464,Sun Feb 10 03:13:21 +0000 2013,en
8608,48528862,1214,115,Thu Jun 18 23:17:35 +0000 2009,en
8642,624019090,1798,282,Sun Jul 01 19:25:56 +0000 2012,en
8684,34615909,1396,330,Thu Apr 23 13:49:22 +0000 2009,en
8821,256601887,1876,444,Wed Feb 23 17:45:07 +0000 2011,en
8833,55441424,1081,330,Fri Jul 10 02:22:39 +0000 2009,en
8835,60353143,1930,205,Sun Jul 26 17:39:43 +0000 2009,en
8895,2932615572,1277,384,Tue Dec 16 17:59:04 +0000 2014,en
8913,1101965940,1549,391,Fri Jan 18 20:46:59 +0000 2013,en
8943,67501566,1097,407,Fri Aug 21 02:41:43 +0000 2009,en
8948,435467995,1112,198,Tue Dec 13 03:04:16 +0000 2011,en
8960,1846271804,1501,238,Mon Sep 09 13:58:23 +0000 2013,en
8998,28374369,1825,470,Thu Apr 02 17:02:34 +0000 2009,en
9022,306414147,1099,247,Fri May 27 20:56:49 +0000 2011,en
9048,22801923,1845,298,Wed Mar 04 17:17:15 +0000 2009,en
9080,611805760,1615,248,Mon Jun 18 16:23:40 +0000 2012,en
9160,14374797,1987,497,Sun Apr 13 13:02:01 +0000 2008,en
9219,141300951,1797,130,Fri May 07 18:26:50 +0000 2010,en
9290,127614941,1469,466,Mon Mar 29 19:08:23 +0000 2010,en
9336,39407561,1462,266,Tue May 12 02:11:52 +0000 2009,en
9407,24430658,1664,238,Sat Mar 14 21:12:14 +0000 2009,en
9412,250272501,1018,286,Thu Feb 10 19:28:52 +0000 2011,en
9460,47255876,1415,455,Mon Jun 15 04:09:04 +0000 2009,en
9501,14551176,1994,341,Sat Apr 26 20:33:16 +0000 2008,en
9507,2961290481,1327,161,Mon Jan 05 01:51:52 +0000 2015,en
9518,27973899,1754,218,Tue Mar 31 21:58:21 +0000 2009,en
9529,76150411,1016,375,Mon Sep 21 21:30:34 +0000 2009,en
9578,16064195,1340,367,Sun Aug 31 06:57:08 +0000 2008,en
9587,110600629,1790,416,Tue Feb 02 03:34:45 +0000 2010,en
9623,1198443385,1342,450,Tue Feb 19 19:36:11 +0000 2013,en
9655,1405987668,1953,248,Sun May 05 20:19:11 +0000 2013,en
9656,2327983291,1829,393,Wed Feb 05 01:08:06 +0000 2014,en
9665,342181634,1303,266,Mon Jul 25 16:21:23 +0000 2011,en
9727,143587617,1702,249,Thu May 13 21:57:29 +0000 2010,en
9823,20949758,1985,373,Mon Feb 16 00:18:41 +0000 2009,en
9849,66209943,1642,326,Sun Aug 16 22:38:02 +0000 2009,en
9924,250710495,1923,128,Fri Feb 11 17:01:16 +0000 2011,en
9930,1532498652,1793,198,Thu Jun 20 01:53:21 +0000 2013,en
9932,64726967,1485,136,Tue Aug 11 14:27:21 +0000 2009,en
9961,275384428,1229,498,Fri Apr 01 05:02:08 +0000 2011,en
9967,946532017,1023,209,Tue Nov 13 21:11:15 +0000 2012,en
9969,7106052,1032,159,Wed Jun 27 09:54:21 +0000 2007,en
10012,2303688630,1090,217,Tue Jan 21 20:44:39 +0000 2014,en
10136,515010219,1080,318,Mon Mar 05 02:31:17 +0000 2012,en
10171,494329788,1367,203,Thu Feb 16 19:46:37 +0000 2012,en
10181,283063309,1528,116,Sat Apr 16 14:07:01 +0000 2011,en
10207,161339181,1320,427,Wed Jun 30 16:01:50 +0000 2010,en
10216,22873107,1560,151,Thu Mar 05 03:28:35 +0000 2009,en
10297,15011877,1137,192,Wed Jun 04 23:37:32 +0000 2008,en
10334,247021432,1154,101,Thu Feb 03 22:58:22 +0000 2011,en
10374,304296756,1652,420,Tue May 24 08:27:30 +0000 2011,en
10446,212800280,1428,487,Sun Nov 07 02:50:10 +0000 2010,en
10463,484234573,1550,352,Sun Feb 05 21:48:15 +0000 2012,en
10580,57412452,1231,460,Thu Jul 16 18:52:13 +0000 2009,en
10670,294177000,1445,314,Fri May 06 17:21:43 +0000 2011,en
10740,40713445,1058,426,Sun May 17 18:54:34 +0000 2009,en
10744,259287056,1463,175,Tue Mar 01 15:08:15 +0000 2011,en
10757,76508902,1861,109,Wed Sep 23 00:49:02 +0000 2009,en
10766,9888122,1755,342,Fri Nov 02 15:27:24 +0000 2007,en
10775,1089418225,1685,475,Mon Jan 14 16:00:17 +0000 2013,en
10838,50220935,1002,327,Wed Jun 24 05:07:05 +0000 2009,en
10887,330657727,1449,211,Wed Jul 06 23:28:11 +0000 2011,en
10899,240303484,1311,317,Wed Jan 19 16:26:47 +0000 2011,en
10941,334079251,1038,184,Tue Jul 12 15:03:08 +0000 2011,en
11011,1666604966,1967,466,Tue Aug 13 02:49:03 +0000 2013,en
11012,208212331,1501,437,Tue Oct 26 21:27:40 +0000 2010,en
11040,59870399,1393,468,Fri Jul 24 19:49:44 +0000 2009,en
11064,311714873,1887,114,Sun Jun 05 22:57:36 +0000 2011,en
11126,39170043,1886,213,Mon May 11 02:23:23 +0000 2009,en
11165,3594949872,1211,463,Thu Sep 17 14:58:22 +0000 2015,en
11171,1873081328,1882,142,Mon Sep 16 21:25:08 +0000 2013,en
11227,80956768,1738,272,Thu Oct 08 22:10:16 +0000 2009,en
11232,100583605,1948,439,Wed Dec 30 20:04:50 +0000 2009,en
11262,49157340,1040,415,Sat Jun 20 23:27:29 +0000 2009,en
11290,431100994,1565,283,Wed Dec 07 22:38:34 +0000 2011,en
11295,36731590,1137,335,Thu Apr 30 18:18:56 +0000 2009,en
11299,1582128271,1668,205,Wed Jul 10 03:34:47 +0000 2013,en
11371,101825287,1007,437,Mon Jan 04 18:11:53 +0000 2010,en
11427,116448482,1251,308,Mon Feb 22 13:51:53 +0000 2010,en
11468,15388042,1330,378,Fri Jul 11 05:33:20 +0000 2008,en
11532,2410032619,1272,183,Tue Mar 25 03:55:24 +0000 2014,en
11541,17266198,1654,495,Sun Nov 09 07:31:00 +0000 2008,en
11558,459050534,1849,231,Mon Jan 09 07:08:01 +0000 2012,en
11616,242965065,1118,393,Wed Jan 26 00:35:15 +0000 2011,en
11618,268651352,1777,478,Sat Mar 19 05:50:20 +0000 2011,en
11659,2900023413,1631,123,Mon Dec 01 02:06:09 +0000 2014,en
11686,309844773,1221,179,Thu Jun 02 19:28:05 +0000 2011,en
11699,23753656,1070,173,Wed Mar 11 12:18:14 +0000 2009,en
11770,336075979,1190,282,Fri Jul 15 18:11:39 +0000 2011,en
11871,234899340,1101,197,Thu Jan 06 21:13:55 +0000 2011,en
11979,328961541,1086,300,Mon Jul 04 10:08:37 +0000 2011,en
11986,59321980,1325,287,Thu Jul 23 01:41:47 +0000 2009,en
12012,21092528,1294,437,Tue Feb 17 14:30:43 +0000 2009,en
12094,539325012,1767,283,Wed Mar 28 17:43:57 +0000 2012,en
12113,292944606,1991,373,Wed May 04 14:07:48 +0000 2011,en
12140,486923779,1607,211,Wed Feb 08 20:28:28 +0000 2012,en
12154,21178616,1525,458,Wed Feb 18 08:09:39 +0000 2009,en
12231,16913094,1455,466,Wed Oct 22 21:20:45 +0000 2008,en
12294,36837753,1899,232,Fri May 01 01:09:39 +0000 2009,en
12298,1966062223,1302,323,Thu Oct 17 03:58:05 +0000 2013,en
12330,161148986,1979,397,Wed Jun 30 03:18:36 +0000 2010,en
12349,2884463110,1319,236,Wed Nov 19 17:43:11 +0000 2014,en
12380,168920419,1535,399,Wed Jul 21 03:00:52 +0000 2010,en
12396,363143296,1824,441,Sat Aug 27 16:06:26 +0000 2011,en
12430,19728788,1416,165,Thu Jan 29 19:33:43 +0000 2009,en
12566,175071135,1568,111,Thu Aug 05 15:20:22 +0000 2010,en
12622,398446281,1393,366,Wed Oct 26 02:20:25 +0000 2011,en
12626,394237742,1933,390,Wed Oct 19 19:41:27 +0000 2011,en
12681,1262275046,1158,495,Tue Mar 12 15:48:08 +0000 2013,en
12816,22729819,1620,477,Wed Mar 04 03:54:51 +0000 2009,en
12880,310015608,1411,337,Fri Jun 03 02:02:15 +0000 2011,en
12927,2163279666,1236,112,Tue Oct 29 17:46:54 +0000 2013,en
12946,426809736,1346,387,Fri Dec 02 18:37:36 +0000 2011,en
12954,64462470,1975,159,Mon Aug 10 17:41:58 +0000 2009,en
12989,553863817,1480,295,Sat Apr 14 21:54:26 +0000 2012,en
13037,1303141801,1510,312,Tue Mar 26 09:00:44 +0000 2013,ko
13082,273459512,1313,420,Mon Mar 28 14:49:00 +0000 2011,en
13095,102803873,1681,310,Thu Jan 07 22:03:49 +0000 2010,en
13130,215905007,1027,269,Mon Nov 15 07:14:12 +0000 2010,en
13167,39140979,1018,471,Mon May 11 00:05:05 +0000 2009,en
13325,2361103093,1217,310,Tue Feb 25 13:35:08 +0000 2014,en
13393,125840893,1215,264,Wed Mar 24 01:34:06 +0000 2010,en
13473,1340232817,1109,186,Tue Apr 09 21:07:19 +0000 2013,en
13525,16051828,1976,362,Sat Aug 30 05:08:24 +0000 2008,en
13546,69065230,1506,160,Wed Aug 26 19:05:18 +0000 2009,en
13587,349634236,1746,323,Sat Aug 06 12:37:40 +0000 2011,en
13598,24427864,1039,200,Sat Mar 14 20:52:26 +0000 2009,en
13668,15861230,1950,288,Fri Aug 15 08:10:31 +0000 2008,en
13713,454233704,1517,246,Tue Jan 03 19:28:21 +0000 2012,en
13719,26420738,1394,269,Wed Mar 25 03:37:06 +0000 2009,en
13726,29365544,1483,184,Tue Apr 07 03:07:56 +0000 2009,en
13755,114749081,1329,133,Tue Feb 16 13:49:53 +0000 2010,en
13818,62952071,1399,186,Tue Aug 04 22:41:59 +0000 2009,en
13819,23081351,1904,352,Fri Mar 06 16:10:54 +0000 2009,en
13924,19372353,1683,288,Fri Jan 23 00:31:46 +0000 2009,en
13953,1443911,1186,333,Sun Mar 18 21:21:46 +0000 2007,en
13968,156056293,1253,165,Tue Jun 15 22:26:07 +0000 2010,en
14042,1397144792,1298,347,Thu May 02 12:59:43 +0000 2013,en
14075,41483740,1641,148,Wed May 20 23:56:24 +0000 2009,en
14094,34939401,1059,409,Fri Apr 24 14:33:43 +0000 2009,en
14104,107589114,1682,433,Sat Jan 23 02:23:43 +0000 2010,en
14178,23408593,1736,139,Mon Mar 09 06:10:32 +0000 2009,en
14180,222144134,1818,260,Thu Dec 02 15:49:05 +0000 2010,en
14192,17388080,1108,294,Fri Nov 14 14:31:28 +0000 2008,en
14209,2225660432,1724,274,Sun Dec 01 22:15:11 +0000 2013,en
14242,254279527,1514,154,Sat Feb 19 00:17:10 +0000 2011,en
14288,575398878,1743,105,Wed May 09 12:37:32 +0000 2012,en
14305,325857039,1242,328,Wed Jun 29 00:10:08 +0000 2011,en
14333,273598262,1004,200,Mon Mar 28 20:07:52 +0000 2011,en
14339,36188083,1749,441,Tue Apr 28 21:24:13 +0000 2009,en
14410,16440518,1277,319,Wed Sep 24 20:24:03 +0000 2008,en
14463,363140780,1302,400,Sat Aug 27 16:01:18 +0000 2011,en
14506,49614068,1415,342,Mon Jun 22 12:31:39 +0000 2009,en
14572,17903266,1303,344,Fri Dec 05 18:00:35 +0000 2008,en
14586,17298298,1062,289,Mon Nov 10 23:49:56 +0000 2008,en
14641,72945644,1036,472,Wed Sep 09 20:41:54 +0000 2009,en
