user_name,leaning
jeff197320,DEMOCRAT
amasharchive,REPUBLICAN
DamianMcN,DEMOCRAT
JenniferBrunner,DEMOCRAT
ACLJ,REPUBLICAN
pamela_jayne,DEMOCRAT
DebGrosspgh,DEMOCRAT
brooklinegirl,DEMOCRAT
AndyBarr34,DEMOCRAT
AJusticeAlley,REPUBLICAN
greenize621,DEMOCRAT
iCaucusNational,REPUBLICAN
rezaaslan,DEMOCRAT
Cindyrochel,DEMOCRAT
douglasernst,REPUBLICAN
HowittStateRep,REPUBLICAN
JOEFREDERICKIII,DEMOCRAT
johnroconnor,REPUBLICAN
KellyMorganID,REPUBLICAN
rls67,DEMOCRAT
SenatorTester,DEMOCRAT
shawnjackson79,DEMOCRAT
BobFergusonAG,DEMOCRAT
khatuberry,DEMOCRAT
SpoofMeNot,REPUBLICAN
LisaPatrell,DEMOCRAT
sarahgibblondon,DEMOCRAT
joleneivey,DEMOCRAT
Wolf308,REPUBLICAN
DrReeseHalter,DEMOCRAT
OFA_MN,DEMOCRAT
johnnydestefano,REPUBLICAN
upayr,DEMOCRAT
justiceputnam,DEMOCRAT
stevenleser,DEMOCRAT
jchabria,REPUBLICAN
kantele10,DEMOCRAT
DAKDIS,REPUBLICAN
google,DEMOCRAT
marypatriott,REPUBLICAN
PaulWelday,REPUBLICAN
FLARE_Network,DEMOCRAT
joeradinovich,DEMOCRAT
willington,REPUBLICAN
SteveBellone,DEMOCRAT
Jeffsoulenation,REPUBLICAN
ArevaMartin,DEMOCRAT
PatriotActionNW,REPUBLICAN
JoeCaruso,REPUBLICAN
bendon82,DEMOCRAT
LibAmericaOrg,DEMOCRAT
kenleyyoung,REPUBLICAN
mmckenn,DEMOCRAT
anzinne,DEMOCRAT
LeftistBasher,REPUBLICAN
HarlemGray,DEMOCRAT
bernhard2016,REPUBLICAN
DanCas2,DEMOCRAT
KikiCurls,DEMOCRAT
ohiomail,DEMOCRAT
jarahcrook,REPUBLICAN
iRhysTay,DEMOCRAT
RepDannyDavis,DEMOCRAT
starsrule25,REPUBLICAN
joonleem8471,DEMOCRAT
Gonendunit,REPUBLICAN
SmellTouchFeel,DEMOCRAT
PaulMichaelMalo,DEMOCRAT
s3v3ral,DEMOCRAT
MonroeAnderson,DEMOCRAT
MaryBonoUSA,REPUBLICAN
jonallendc,DEMOCRAT
cabartlett,REPUBLICAN
nonprophetess,DEMOCRAT
bradleybowen,DEMOCRAT
markjuelich,REPUBLICAN
MeganWhittemore,REPUBLICAN
meghanbarr,DEMOCRAT
SFYD,DEMOCRAT
cindy4540,DEMOCRAT
chad_mays,DEMOCRAT
JRpolitirants,REPUBLICAN
Nonswimmer4life,REPUBLICAN
NydiaVelazquez,DEMOCRAT
GaLiberal,DEMOCRAT
laurenharmon,DEMOCRAT
Praisables,REPUBLICAN
PsalmPastor,REPUBLICAN
NYPDnews,REPUBLICAN
politicalgates,DEMOCRAT
GregorioCasar,DEMOCRAT
GeorgiaBlue01,DEMOCRAT
Turbothink,REPUBLICAN
JlszoomJody,REPUBLICAN
tidesout,DEMOCRAT
D3NWARR3N,REPUBLICAN
TexinMiami,DEMOCRAT
CAFalk,DEMOCRAT
senrobportman,REPUBLICAN
SDGovDaugaard,REPUBLICAN
RepJimCox,REPUBLICAN
LibDemConf,DEMOCRAT
SoCaliMilitia1,REPUBLICAN
RepLinderKY,REPUBLICAN
EllenMignone,DEMOCRAT
SaraWright89,REPUBLICAN
SealsKevin,REPUBLICAN
ottoadams,DEMOCRAT
dukdukgo,REPUBLICAN
wizardtechny,REPUBLICAN
Arete57,DEMOCRAT
Flo_rinse,DEMOCRAT
KevinMaddenDC,REPUBLICAN
BikerBecca,DEMOCRAT
CatholicRepub,REPUBLICAN
pubrelationprof,REPUBLICAN
SamJohnsonTX03,REPUBLICAN
robbyscotthill,DEMOCRAT
jenciTN,REPUBLICAN
FervidFeminist,DEMOCRAT
BleuZ00m,DEMOCRAT
LeslieNeidig,DEMOCRAT
Chuck_2Go,DEMOCRAT
afezio1952,REPUBLICAN
MatthewSlutsky,DEMOCRAT
StrongDems,DEMOCRAT
ysh108949,DEMOCRAT
EnergyDems,DEMOCRAT
Electalrobinson,REPUBLICAN
AmericanMetal1,DEMOCRAT
provocativelib,DEMOCRAT
Creekleo,DEMOCRAT
Scott_Maxwell,DEMOCRAT
MelanieLatest,REPUBLICAN
tjgeige,REPUBLICAN
AlBoeNEWS,DEMOCRAT
RichterEE,DEMOCRAT
Deputatipd,DEMOCRAT
Firefa11,REPUBLICAN
Tab1791,REPUBLICAN
dsyndergaard,REPUBLICAN
GoToIrelandUS,REPUBLICAN
TEAMFOX,REPUBLICAN
ElectAllenWest,REPUBLICAN
DigitalEclipz,DEMOCRAT
KJP,REPUBLICAN
Scoot434,DEMOCRAT
PatQuinnNews,DEMOCRAT
jillianwv,REPUBLICAN
PatrickMcHenry,REPUBLICAN
WhyCourtsMatter,DEMOCRAT
johnbisognano,DEMOCRAT
BlackAdam32,DEMOCRAT
williBradowens,REPUBLICAN
Daniel_Brenner,REPUBLICAN
Mclaneartist,REPUBLICAN
RepStephenLynch,DEMOCRAT
Atina_Marie,DEMOCRAT
angel_leigh,REPUBLICAN
VanDrewTeam,DEMOCRAT
jrachelgus,REPUBLICAN
Tara_CR,DEMOCRAT
RichardViguerie,REPUBLICAN
oldirtyginger,DEMOCRAT
RepMontellKY,REPUBLICAN
SueLaniMadsen,REPUBLICAN
JanaDellaRosa,REPUBLICAN
JustTom076,REPUBLICAN
revmamd,DEMOCRAT
BigEers,DEMOCRAT
theheatherbrown,DEMOCRAT
markscrain,DEMOCRAT
WBINTV,REPUBLICAN
eRepublic,REPUBLICAN
DavidAWright1,DEMOCRAT
proverbofday,REPUBLICAN
GRTL,REPUBLICAN
GeorgeTMcDonald,REPUBLICAN
BetsyHoover,DEMOCRAT
terryw200,REPUBLICAN
SharonBowlesUK,DEMOCRAT
jerrymadden,REPUBLICAN
AllieinMO,REPUBLICAN
jaketapper,DEMOCRAT
lifehaspurpose,REPUBLICAN
VWAimlessly,DEMOCRAT
ElectSteveBrown,DEMOCRAT
tweetyturd,DEMOCRAT
kilmeade,DEMOCRAT
RLP379,DEMOCRAT
WellThought_Out,REPUBLICAN
Sendiane,DEMOCRAT
OzEquitist,REPUBLICAN
s_tnwanant,DEMOCRAT
VincentAJE,REPUBLICAN
cats13136,DEMOCRAT
BernieLutchman,REPUBLICAN
